foodDiffX,foodDiffY,left_collision,front_collision,right_collision,direction,action
-12.0,-14.0,6,17,19,2,2
-10.0,-14.0,6,16,19,2,2
-8.0,-14.0,6,15,19,2,2
-6.0,-14.0,6,14,19,2,2
-4.0,-14.0,6,13,19,2,2
-2.0,-14.0,6,12,19,2,2
0.0,-14.0,6,11,19,2,3
0.0,-12.0,11,18,22,3,3
0.0,-10.0,11,17,22,3,3
0.0,-8.0,11,16,22,3,3
0.0,-6.0,11,15,22,3,3
0.0,-4.0,11,14,22,3,3
0.0,-2.0,11,13,22,3,3
2.0,2.0,11,12,22,3,3
2.0,4.0,11,11,22,3,3
2.0,6.0,11,10,22,3,3
2.0,8.0,11,9,22,3,1
0.0,8.0,9,21,10,1,1
-2.0,8.0,9,20,10,1,1
-4.0,8.0,9,19,10,1,1
-6.0,8.0,9,18,16,1,1
-8.0,8.0,9,17,16,1,1
-10.0,8.0,9,16,16,1,1
-12.0,8.0,9,15,16,1,1
-14.0,8.0,9,14,16,1,1
-16.0,8.0,9,13,16,1,4
-16.0,6.0,13,15,9,4,4
-16.0,4.0,13,14,9,4,4
-16.0,2.0,13,13,9,4,4
-16.0,0.0,13,12,9,4,2
-14.0,0.0,12,19,4,2,2
-12.0,0.0,12,18,4,2,2
-10.0,0.0,12,17,4,2,2
-8.0,0.0,12,16,4,2,2
-6.0,0.0,12,15,4,2,2
-4.0,0.0,12,14,4,2,2
-2.0,0.0,12,13,13,2,2
34.0,-22.0,12,12,13,2,2
36.0,-22.0,12,11,13,2,2
38.0,-22.0,12,10,13,2,3
38.0,-20.0,10,12,10,3,3
38.0,-18.0,10,11,10,3,3
38.0,-16.0,10,10,10,3,3
38.0,-14.0,10,9,10,3,3
38.0,-12.0,10,8,23,3,3
38.0,-10.0,10,7,23,3,3
38.0,-8.0,10,6,23,3,3
38.0,-6.0,10,5,23,3,3
38.0,-4.0,10,4,23,3,3
38.0,-2.0,10,3,23,3,3
38.0,0.0,10,2,23,3,1
36.0,0.0,2,22,11,1,1
34.0,0.0,2,21,11,1,1
32.0,0.0,2,20,11,1,1
30.0,0.0,2,19,23,1,1
28.0,0.0,2,18,23,1,1
26.0,0.0,2,17,23,1,1
24.0,0.0,2,16,23,1,1
22.0,0.0,2,15,23,1,1
20.0,0.0,2,14,23,1,1
18.0,0.0,2,13,23,1,1
16.0,0.0,2,12,23,1,1
14.0,0.0,2,11,23,1,1
12.0,0.0,2,10,23,1,1
10.0,0.0,2,9,23,1,1
8.0,0.0,2,8,23,1,1
6.0,0.0,2,7,23,1,1
4.0,0.0,2,6,23,1,1
2.0,0.0,2,5,23,1,1
-40.0,12.0,2,4,23,1,4
-40.0,10.0,4,22,29,4,4
-40.0,8.0,4,21,29,4,4
-40.0,6.0,4,20,29,4,4
-40.0,4.0,4,19,29,4,4
-40.0,2.0,4,18,29,4,4
-40.0,0.0,4,17,29,4,2
-38.0,0.0,17,28,6,2,2
-36.0,0.0,17,27,6,2,2
-34.0,0.0,17,26,6,2,2
-32.0,0.0,17,25,6,2,2
-30.0,0.0,17,24,6,2,2
-28.0,0.0,17,23,6,2,2
-26.0,0.0,17,22,8,2,2
-24.0,0.0,17,21,8,2,2
-22.0,0.0,17,20,8,2,2
-20.0,0.0,17,19,8,2,2
-18.0,0.0,17,18,8,2,2
-16.0,0.0,17,17,8,2,2
-14.0,0.0,17,16,8,2,2
-12.0,0.0,17,15,8,2,2
-10.0,0.0,17,14,8,2,2
-8.0,0.0,17,13,8,2,2
-6.0,0.0,17,12,8,2,2
-4.0,0.0,17,11,8,2,2
-2.0,0.0,17,10,8,2,2
40.0,-6.0,17,9,8,2,2
42.0,-6.0,17,8,8,2,2
44.0,-6.0,17,7,8,2,3
44.0,-4.0,7,7,26,3,3
44.0,-2.0,7,6,26,3,3
44.0,0.0,7,5,26,3,1
42.0,0.0,5,25,3,1,1
40.0,0.0,5,24,3,1,1
38.0,0.0,5,23,3,1,1
36.0,0.0,5,22,3,1,1
34.0,0.0,5,21,3,1,1
32.0,0.0,5,20,3,1,1
30.0,0.0,5,19,3,1,1
28.0,0.0,5,18,3,1,1
26.0,0.0,5,17,20,1,1
24.0,0.0,5,16,20,1,1
22.0,0.0,5,15,20,1,1
20.0,0.0,5,14,20,1,1
18.0,0.0,5,13,20,1,1
16.0,0.0,5,12,20,1,1
14.0,0.0,5,11,20,1,1
12.0,0.0,5,10,20,1,1
10.0,0.0,5,9,20,1,1
8.0,0.0,5,8,20,1,1
6.0,0.0,5,7,20,1,1
4.0,0.0,5,6,20,1,1
2.0,0.0,5,5,20,1,1
-52.0,32.0,5,4,20,1,4
-52.0,30.0,4,19,29,4,4
-52.0,28.0,4,18,29,4,4
-52.0,26.0,4,17,29,4,4
-52.0,24.0,4,16,29,4,4
-52.0,22.0,4,15,29,4,4
-52.0,20.0,4,14,29,4,4
-52.0,18.0,4,13,29,4,4
-52.0,16.0,4,12,29,4,4
-52.0,14.0,4,11,29,4,4
-52.0,12.0,4,10,29,4,4
-52.0,10.0,4,9,29,4,4
-52.0,8.0,4,8,29,4,4
-52.0,6.0,4,7,29,4,4
-52.0,4.0,4,6,29,4,4
-52.0,2.0,4,5,29,4,2
-50.0,2.0,5,28,15,2,2
-48.0,2.0,5,27,15,2,2
-46.0,2.0,5,26,15,2,2
-44.0,2.0,5,25,20,2,4
-44.0,0.0,8,4,25,4,4
-44.0,-2.0,8,3,25,4,2
-42.0,-2.0,3,24,22,2,2
-40.0,-2.0,3,23,22,2,2
-38.0,-2.0,3,22,22,2,2
-36.0,-2.0,3,21,22,2,2
-34.0,-2.0,3,20,22,2,2
-32.0,-2.0,3,19,22,2,2
-30.0,-2.0,3,18,22,2,2
-28.0,-2.0,3,17,22,2,2
-26.0,-2.0,3,16,22,2,2
-24.0,-2.0,3,15,22,2,2
-22.0,-2.0,3,14,22,2,2
-20.0,-2.0,3,13,22,2,2
-18.0,-2.0,3,12,22,2,2
-16.0,-2.0,3,11,22,2,2
-14.0,-2.0,3,10,22,2,2
-12.0,-2.0,3,9,22,2,2
-10.0,-2.0,3,8,22,2,2
-8.0,-2.0,3,7,22,2,2
-6.0,-2.0,3,6,22,2,2
-4.0,-2.0,3,5,22,2,2
-2.0,-2.0,3,4,22,2,2
0.0,-2.0,3,3,22,2,3
20.0,-20.0,3,21,30,3,3
20.0,-18.0,3,20,30,3,3
20.0,-16.0,3,19,30,3,3
20.0,-14.0,3,18,30,3,3
20.0,-12.0,3,17,30,3,3
20.0,-10.0,3,16,30,3,3
20.0,-8.0,3,15,30,3,3
20.0,-6.0,3,14,30,3,3
20.0,-4.0,3,13,30,3,3
20.0,-2.0,3,12,30,3,3
20.0,0.0,3,11,30,3,1
18.0,0.0,11,29,11,1,1
16.0,0.0,11,28,11,1,1
14.0,0.0,11,27,11,1,1
12.0,0.0,11,26,11,1,1
10.0,0.0,11,25,11,1,1
8.0,0.0,11,24,14,1,1
6.0,0.0,11,23,14,1,1
4.0,0.0,11,22,14,1,1
2.0,0.0,11,21,14,1,1
-18.0,18.0,11,20,14,1,1
-20.0,18.0,11,19,14,1,1
-22.0,18.0,11,18,14,1,1
-24.0,18.0,11,17,14,1,1
-26.0,18.0,11,16,14,1,1
-28.0,18.0,11,15,14,1,4
-28.0,16.0,15,13,15,4,4
-28.0,14.0,15,12,15,4,4
-28.0,12.0,15,11,15,4,4
-28.0,10.0,15,10,15,4,4
